Pixel	Wavelength	
754.0	555.45096228	
755.0	555.680253027	
756.0	555.909543076	
757.0	556.138832427	
758.0	556.36812108	
759.0	556.597409035	
760.0	556.826696292	
761.0	557.055982851	
762.0	557.285268713	
763.0	557.514553876	
764.0	557.743838341	
765.0	557.973122108	
766.0	558.202405177	
767.0	558.431687548	
768.0	558.660969222	
769.0	558.890250197	
770.0	559.119530474	
771.0	559.348810053	
772.0	559.578088935	
773.0	559.807367118	
774.0	560.036644603	
775.0	560.265921391	
776.0	560.49519748	
777.0	560.724472872	
778.0	560.953747565	
779.0	561.18302156	
780.0	561.412294858	
781.0	561.641567457	
782.0	561.870839359	
783.0	562.100110562	
784.0	562.329381068	
785.0	562.558650876	
786.0	562.787919985	
787.0	563.017188397	
788.0	563.24645611	
789.0	563.475723126	
790.0	563.704989444	
791.0	563.934255063	
792.0	564.163519985	
793.0	564.392784209	
794.0	564.622047735	
795.0	564.851310562	
796.0	565.080572692	
797.0	565.309834124	
798.0	565.539094858	
799.0	565.768354894	
800.0	565.997614231	
801.0	566.226872871	
802.0	566.456130813	
803.0	566.685388057	
804.0	566.914644603	
805.0	567.143900451	
806.0	567.373155601	
807.0	567.602410053	
808.0	567.831663807	
809.0	568.060916863	
810.0	568.290169221	
811.0	568.519420881	
812.0	568.748671843	
813.0	568.977922107	
814.0	569.207171674	
815.0	569.436420542	
816.0	569.665668712	
817.0	569.894916184	
818.0	570.124162958	
819.0	570.353409035	
820.0	570.582654413	
821.0	570.811899093	
822.0	571.041143075	
823.0	571.27038636	
824.0	571.499628946	
825.0	571.728870834	
826.0	571.958112025	
827.0	572.187352517	
828.0	572.416592312	
829.0	572.645831408	
830.0	572.875069807	
831.0	573.104307507	
832.0	573.33354451	
833.0	573.562780814	
834.0	573.792016421	
835.0	574.021251329	
836.0	574.25048554	
837.0	574.479719052	
838.0	574.708951867	
839.0	574.938183984	
840.0	575.167415402	
841.0	575.396646123	
842.0	575.625876146	
843.0	575.85510547	
844.0	576.084334097	
845.0	576.313562026	
846.0	576.542789257	
847.0	576.772015789	
848.0	577.001241624	
849.0	577.230466761	
850.0	577.4596912	
851.0	577.688914941	
852.0	577.918137984	
853.0	578.147360329	
854.0	578.376581976	
855.0	578.605802925	
856.0	578.835023175	
857.0	579.064242728	
858.0	579.293461584	
859.0	579.522679741	
860.0	579.7518972	
861.0	579.981113961	
862.0	580.210330024	
863.0	580.439545389	
864.0	580.668760056	
865.0	580.897974025	
866.0	581.127187296	
867.0	581.35639987	
868.0	581.585611745	
869.0	581.814822922	
870.0	582.044033401	
871.0	582.273243183	
872.0	582.502452266	
873.0	582.731660651	
874.0	582.960868338	
875.0	583.190075328	
876.0	583.419281619	
877.0	583.648487213	
878.0	583.877692108	
879.0	584.106896305	
880.0	584.336099805	
